"methods","samples.theta1","samples.theta2"
"Delay reconstruction",0.158467874629062,0.444896913033779
"Delay reconstruction",0.143768390538028,0.340831338369933
"Delay reconstruction",0.143768390538028,0.340831338369933
"Delay reconstruction",0.406127975326225,0.305964470813341
"Delay reconstruction",0.406127975326225,0.305964470813341
"Delay reconstruction",0.406127975326225,0.305964470813341
"Delay reconstruction",0.850490375618533,0.26299436209123
"Delay reconstruction",0.850490375618533,0.26299436209123
"Delay reconstruction",0.850490375618533,0.26299436209123
"Delay reconstruction",0.850490375618533,0.26299436209123
"Delay reconstruction",0.562148263808518,0.315381944019607
"Delay reconstruction",0.942994275538669,0.140961732140475
"Delay reconstruction",0.671933143189119,0.33888663548411
"Delay reconstruction",0.850490375618533,0.26299436209123
"Delay reconstruction",0.530037902424143,0.388865431439609
"Delay reconstruction",0.530037902424143,0.388865431439609
"Delay reconstruction",0.507041300475362,0.296180733961768
"Delay reconstruction",0.74784193915041,0.160111910198741
"Delay reconstruction",0.693571476384819,0.105324634782391
"Delay reconstruction",0.920914535717376,0.0706270874525666
"Delay reconstruction",0.920914535717376,0.0706270874525666
"Delay reconstruction",0.752124079497375,0.0805841708702305
"Delay reconstruction",0.881686297200923,0.129967352664496
"Delay reconstruction",0.233553963062026,0.333326993121787
"Delay reconstruction",0.682559135075389,0.376221971199199
"Delay reconstruction",0.787358876779262,0.247283732062789
"Delay reconstruction",0.500665333703074,0.360483212088667
"Delay reconstruction",0.725422691585605,0.240137989776797
"Delay reconstruction",0.510153552787527,0.252164641393092
"Delay reconstruction",0.40093378487178,0.367280781044085
"Delay reconstruction",0.731659780810834,0.145249006460955
"Delay reconstruction",0.749609802283382,0.166946467621861
"Delay reconstruction",0.900847962285388,0.0771058598110334
"Delay reconstruction",0.953787266049758,0.146256356860432
"Delay reconstruction",0.725834955994488,0.0929972262836245
"Delay reconstruction",0.81863158105575,0.0842121693949433
"Delay reconstruction",0.843613944447464,0.148764045550463
"Delay reconstruction",0.749609802283382,0.166946467621861
"Delay reconstruction",0.663138199834172,0.344973152433005
"Delay reconstruction",0.834355303788963,0.183007029580408
"Delay reconstruction",0.655506949816296,0.213088770680737
"Delay reconstruction",0.718737209037719,0.234424942372996
"Delay reconstruction",0.585092070473033,0.182589681498379
"Delay reconstruction",0.672271983942938,0.0912141633538218
"Delay reconstruction",0.534452353276311,0.185150292867159
"Delay reconstruction",0.701592141821435,0.0473865982753283
"Delay reconstruction",0.843419538507849,0.0762629226736319
"Delay reconstruction",0.23420966038769,0.279332383429628
"Delay reconstruction",0.357466834436634,0.113122771468453
"Delay reconstruction",0.357466834436634,0.113122771468453
"Delay reconstruction",0.230994842261755,0.31966025273876
"Delay reconstruction",0.5866984898807,0.281512880102977
"Delay reconstruction",0.885850628422369,0.182420987949765
"Delay reconstruction",0.543647274790626,0.238581096819873
"Delay reconstruction",0.617365463176596,0.278572441895945
"Delay reconstruction",0.379511488715024,0.392289987580312
"Delay reconstruction",0.796714444192902,0.174937642819
"Delay reconstruction",0.421305643317851,0.282613891554831
"Delay reconstruction",0.523330747014266,0.172482757293839
"Delay reconstruction",0.565942895185653,0.202294661914231
"Delay reconstruction",0.197861916963441,0.253538052319751
"Delay reconstruction",0.471526711273378,0.168000533327957
"Delay reconstruction",0.732203466225801,0.279037397756973
"Delay reconstruction",0.721400547994545,0.236616049048011
"Delay reconstruction",0.721400547994545,0.236616049048011
"Delay reconstruction",0.660547641550989,0.209011890076423
"Delay reconstruction",0.721400547994545,0.236616049048011
"Delay reconstruction",0.721400547994545,0.236616049048011
"Delay reconstruction",0.564195758382235,0.30915702675664
"Delay reconstruction",0.49591128264378,0.217414355210656
"Delay reconstruction",0.74766878904067,0.10130037668701
"Delay reconstruction",0.364759836835528,0.38088791852176
"Delay reconstruction",0.562079560153667,0.314114669843044
