"methods","samples.p","samples.mu01","samples.mu02","samples.mu11","samples.mu12"
"SummaryRaw",0.294481170572727,0.592146920858595,0.678999297249651,-0.619553113673259,-0.473178887631935
"SummaryRaw",0.319113285767931,0.789299509825974,0.838963939954024,-0.499173392049555,-0.483245439061048
"SummaryRaw",0.374748286877331,0.794419685107556,0.813363824366451,-0.327405105666366,-0.445562864098383
"SummaryRaw",0.42863657626467,0.736433413134455,0.83771291532983,-0.445172011631388,-0.151135868663868
"SummaryRaw",0.297904746743002,0.862978782865911,0.537146650910194,-0.565509020367768,-0.611767886665984
"SummaryRaw",0.210830634149512,0.706400540168184,0.561914550052476,-0.296923335355329,-0.849641113827731
"SummaryRaw",0.210830634149512,0.706400540168184,0.561914550052476,-0.296923335355329,-0.849641113827731
"SummaryRaw",0.210830634149512,0.706400540168184,0.561914550052476,-0.296923335355329,-0.849641113827731
"SummaryRaw",0.27117643098665,0.679044491160426,0.676849272083097,-0.605721900917591,-0.578251280254678
"SummaryRaw",0.210830634149512,0.706400540168184,0.561914550052476,-0.296923335355329,-0.849641113827731
"SummaryRaw",0.210830634149512,0.706400540168184,0.561914550052476,-0.296923335355329,-0.849641113827731
"SummaryRaw",0.210830634149512,0.706400540168184,0.561914550052476,-0.296923335355329,-0.849641113827731
"SummaryRaw",0.680130955819554,-0.714399351315137,-0.768982716408585,0.813343206455209,0.64970304349385
"SummaryRaw",0.680130955819554,-0.714399351315137,-0.768982716408585,0.813343206455209,0.64970304349385
"SummaryRaw",0.547675673080178,-0.0181932558584536,-0.518371502619237,0.705420029575908,0.847581910239938
"SummaryRaw",0.547675673080178,-0.0181932558584536,-0.518371502619237,0.705420029575908,0.847581910239938
"SummaryRaw",0.547675673080178,-0.0181932558584536,-0.518371502619237,0.705420029575908,0.847581910239938
