"methods","samples.omega","samples.phi","samples.logsigma","samples.logA"
"Curve matching and delay reconstruction",0.0133259329331707,0.312703885823729,-1.20601565777583,0.416415074517829
"Curve matching and delay reconstruction",0.0128650741557238,0.394481841683732,-1.25010786679997,0.409681820685746
"Curve matching and delay reconstruction",0.0124054945364929,0.775393772040206,-1.95091925713171,0.361446196118627
"Curve matching and delay reconstruction",0.0128474855592191,0.820869781175054,-2.16822720962679,0.423823424612492
"Curve matching and delay reconstruction",0.0128672508735739,0.322282565708667,-2.14163012467651,0.416241442564146
"Curve matching and delay reconstruction",0.0123880977975076,0.617126345772397,-2.45633871267236,0.286596927518128
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0117933126504511,0.805715955684045,-0.92328085463415,0.591952618958516
"Curve matching and delay reconstruction",0.0115117164893353,1.15102425173352,-1.56158826091164,0.504244112936994
"Curve matching and delay reconstruction",0.0116906170664632,1.10467472596701,-1.99170465473212,0.686425615390154
"Curve matching and delay reconstruction",0.0118921720670475,1.09287669102003,-2.72572474672617,0.798892546606908
"Curve matching and delay reconstruction",0.0116906170664632,1.10467472596701,-1.99170465473212,0.686425615390154
"Curve matching and delay reconstruction",0.0116906170664632,1.10467472596701,-1.99170465473212,0.686425615390154
"Curve matching and delay reconstruction",0.0119220434845028,0.870494594125795,-1.95039582715787,0.444020693413775
"Curve matching and delay reconstruction",0.012409396176727,0.653747437504393,-1.9019648329029,0.467565810467716
"Curve matching and delay reconstruction",0.012409396176727,0.653747437504393,-1.9019648329029,0.467565810467716
"Curve matching and delay reconstruction",0.0116906170664632,1.10467472596701,-1.99170465473212,0.686425615390154
"Curve matching and delay reconstruction",0.0116906170664632,1.10467472596701,-1.99170465473212,0.686425615390154
"Curve matching and delay reconstruction",0.0115469187917965,1.18731211882701,-1.89357890796805,0.619546748937439
"Curve matching and delay reconstruction",0.0121114416010422,0.526181096565451,-2.70457553003395,0.70029793349962
"Curve matching and delay reconstruction",0.0116906170664632,1.10467472596701,-1.99170465473212,0.686425615390154
"Curve matching and delay reconstruction",0.011567059406546,0.818095028602556,-2.15544056099191,0.695223799967095
"Curve matching and delay reconstruction",0.011567059406546,0.818095028602556,-2.15544056099191,0.695223799967095
"Curve matching and delay reconstruction",0.0120484080267723,0.96895729405419,-1.08640099621071,0.699861879623612
"Curve matching and delay reconstruction",0.0123891660113152,0.780788888050703,-1.71136157350778,0.677029748227636
"Curve matching and delay reconstruction",0.0126483048201105,0.790495730857374,-1.69931529635007,0.766353557778194
"Curve matching and delay reconstruction",0.0128199913305237,0.782294205413076,-1.80240885355795,0.89960822070181
"Curve matching and delay reconstruction",0.0125372464812259,0.938236295978926,-1.62916830414406,0.896078278815881
"Curve matching and delay reconstruction",0.0139251873468903,0.357601344282411,-1.69413594634649,0.825448853213839
"Curve matching and delay reconstruction",0.0139251873468903,0.357601344282411,-1.69413594634649,0.825448853213839
"Curve matching and delay reconstruction",0.0139458618548643,0.393461514091056,-1.46514225445462,0.770416562951763
"Curve matching and delay reconstruction",0.0133801096224546,0.381970335679022,-1.03032282331053,0.770837503128681
