"methods","samples.omega","samples.phi","samples.logsigma","samples.logA"
"Summary statistics",0.0097332400317128,3.17102990165354,-0.0368509026410998,0.541219017229674
"Summary statistics",0.0349736583804244,3.11613926492869,0.0795129020224911,0.567041746372959
"Summary statistics",0.0097332400317128,3.17102990165354,-0.0368509026410998,0.541219017229674
"Summary statistics",0.0105425141824589,5.39121821126688,-0.0509342508052933,0.491157550270217
"Summary statistics",0.0097332400317128,3.17102990165354,-0.0368509026410998,0.541219017229674
"Summary statistics",0.0224992507017603,3.7143594988024,0.0556539043288677,0.64722959408153
"Summary statistics",0.0271752114356322,1.94191962131805,0.36537248946279,0.807395058670375
"Summary statistics",0.0244786739733444,3.27096545386522,-0.149142833940531,0.321774717718418
"Summary statistics",0.0095596606105249,3.56821554572549,-0.528078500850698,0.156575886710485
"Summary statistics",0.0095596606105249,3.56821554572549,-0.528078500850698,0.156575886710485
"Summary statistics",0.0095596606105249,3.56821554572549,-0.528078500850698,0.156575886710485
"Summary statistics",0.00974409759448346,1.71435470274708,-0.236775254730907,0.189193659426162
"Summary statistics",0.0198176954534018,3.77130059000398,-0.0535459852818018,0.533895060314636
