"methods","samples.omega","samples.phi","samples.logsigma","samples.logA"
"Curve matching",0.012386471665886,0.799656159002691,-1.8373655871707,0.792042978951245
"Curve matching",0.012386471665886,0.799656159002691,-1.8373655871707,0.792042978951245
"Curve matching",0.012293702942853,0.823600404264125,-1.74058411595297,0.81633693463446
"Curve matching",0.0125022138049706,0.55165084614635,-1.92480719821093,0.495460016044538
"Curve matching",0.0122543775131417,0.718015411157208,-1.48710713583622,0.727900789915804
"Curve matching",0.0130170704090057,0.478986575341403,-2.47853461199279,0.48303553362959
"Curve matching",0.0128287160844694,0.585544109572906,-1.32034828333119,0.805598816733537
"Curve matching",0.0128624102389105,0.613944087812959,-1.67910541569307,0.787983544959506
"Curve matching",0.0127048461479359,0.552235215275111,-1.45158009521453,0.704885901013909
"Curve matching",0.012424064895003,0.691230425071045,-1.64734772859112,0.607606474872005
"Curve matching",0.0127021497698946,0.665617962695488,-1.65908790321428,0.688616362923503
"Curve matching",0.013081498971441,0.60148505270093,-1.3956411113005,0.723735436810705
"Curve matching",0.0131657108737868,0.549255253505631,-1.59642256981265,0.670502290403132
"Curve matching",0.0125404154563936,0.515752834848145,-2.60886657621916,0.64501690906957
"Curve matching",0.0136054568873096,0.296166881113391,-2.43660464519466,0.646619181728089
